Name,Cmpd number ,HTP Rank,Viable?,inherent CD86,inherent CD40,inherent MHCII,Keep?,Mods only MFI of BV421 (CD86),Mods only  MFI of AF488 (CD40),Mods only MFI of PE (MHCII),Pam3 MFI of BV421 (CD86),Pam3 MFI of AF488 (CD40),Pam3 MFI of PE (MHCII),Pam2 MFI of BV421 (CD86),Pam2 MFI of AF488 (CD40),Pam2 MFI of PE (MHCII),LPS MFI of BV421 (CD86),LPS MFI of AF488 (CD40),LPS MFI of PE (MHCII),Fla MFI of BV421 (CD86),Fla MFI of AF488 (CD40),Fla MFI of PE (MHCII),R848 MFI of BV421 (CD86),R848 MFI of AF488 (CD40),R848 MFI of PE (MHCII),cGAMP MFI of BV421 (CD86),cGAMP MFI of AF488 (CD40),cGAMP MFI of PE (MHCII),Poly IC MFI of BV421 (CD86),Poly IC MFI of AF488 (CD40),Poly IC MFI of PE (MHCII),Modulator only abs,Modulator only lum,Mods alone IL-1b (pg/mL),Mods alone IL-12 (pg/mL),Mods alone IP-10 (pg/mL),Mods Alone CCl4 (pg/mL),Mods Alone TNF (pg/mL),Mods Alone IFN-B (pg/mL),LPS - IL-1B,LPS - IL-12,LPS - IP-10,LPS-CCl4,LPS-TNF,LPS-IFN-B,PAM3 - IL-1B,PAM3 - IL-12,PAM3 - IP-10,PAM3- CCL4 - FOLD COUNTS,PAM3 - TNF,PAM3 - IFN-B,cGAMP - IL-1B,cGAMP - IL-12,cGAMP - IP-10 - fold counts,cGAMP CCL4 - Fold Counts,cGAMP - TNF,cGAMP - IFN-B,Fla - IL-1B,Fla - IL-12,Fla - IP-10,Fla-CCL4,Fla - TNF,Fla - IFN-B,R848 - IL-1B,R848 - IL-12,R848 - IP-10,R848 CCL4,R848 - TNF,R848 - IFN-B,PAM2 - IL-1B,PAM2 - IL-12,PAM2 - IP-10,PAM2 CCL4,Pam2 TNF,Pam2 - IFN-B,Poly IC - IL-1B,Poly IC - IL-12,Poly IC - IP-10,Poly IC- CCL4,Poly IC - TNF,Poly IC - IFN-B
ABT-737,S1002,1,0,0,0,0,0,0.799114755,0.596588562,1.104301206,0.963129093,0.393700972,0.979988433,0.952927215,0.599336677,1.622063869,0.75379781,0.443767776,0.590168633,0.779795788,0.674743798,0.811497435,0.85470437,0.290530555,1.578259245,1.098152752,0.210155148,1.045439132,1.547217011,1.241480575,1.096491228,0.111,278,0,3.4189286,155.753392,3695.94192,1.68323719,8.60984853,0.6896904,0.474,0.0456482,0.80768188,1.35482729,0.47882833,0.69621577,0.72377952,0.05715691,0.46299535,1.22081525,0.59590469,0.40636218,0.19622,0.04549882,0.80242375,0.46880751,0.08324664,0.6189498,0.30392493,0.04104358,0.77794819,1.14698716,0.65265932,0.10728215,0.12332046,1.08193162,0.72620674,0.436916563,0,0.59652537,0.45110756,0.26125952,0.67336056,0.88539504,0,1.1078527,0.11392296,0.05064933,0.52051897,0.47950698,1.0201323
Regorafenib (BAY 73-4506),S1178,2,1,0,0,0,1,1.087544897,0.847311574,1.219812355,1.563828833,1.250471958,1.64534413,1.268591772,0.471282964,2.284507786,0.960032431,0.218514156,0.397287209,0.61618902,0.721961498,0.928263171,1.017994859,0.2065243,1.541277549,1.160461969,0.245001245,1.420481519,1.280175109,0.95735699,1.036472761,0.104,113,7.83897273,3.67058129,178.518122,2594.63189,0.85866882,1.39727676,0.11416677,0.01976,0.05146245,0.95231445,0.08942977,0.20673327,0.05016788,0.00214402,0.00758246,0.15139601,0.0064429,0.53350291,0.28119585,0.1033,0.02206286,0.53315637,0,0.08660159,0.29283027,0.06113968,0,0.24242373,0.03119307,1.13006373,0.0085489,0.00516676,0.42142418,0.02263436,0.0070924,0,0.07448024,0.03942789,0.1325753,0.48328064,0.01299974,0,1.01212827,0.28844768,0,0.30072528,0.49533133,0.6229051
Selumetinib (AZD6244),S1008,3,1,0,0,0,1,1.342234154,0.912235141,1.37297429,1.113483448,0.92810994,1.387160208,1.31784019,0.840721566,3.801530747,0.999929883,0.692479915,1.5351663,0.474128151,0.744947802,0.942187118,1.438971722,1.598731981,3.909973851,1.455392265,0.582427611,1.270939301,1.191369606,0.823003977,1.003231764,0.103,162,0,8.74597248,374.448958,2793.20251,0.86103425,0.32194108,0.32604053,1.15541,6.60270347,0.89784453,0.32601639,0.24596038,0.21917388,0.06983821,2.53793045,0.4364286,0.2352933,0.62913244,1.95502573,0.50784,0.30576749,0.84610847,0.18294598,0.13742329,0.32070445,0.34457361,1.12140621,0.76433675,0.24263395,2.84946426,0.06458607,46054.7169,0.98020264,0.96935029,1.795297411,1.564025045,0.11143246,0.25713453,2.0993267,0.76937178,0.2241376,0,0.03614485,0.3909774,0.22776563,0.3919839,0.63562648,0.47989752
Cediranib (AZD2171),S1017,4,0,0,0,0,0,1.463919022,1.262822405,1.181430486,1.8326007,2.000867699,1.187275882,1.34869462,1.108558486,0.934811296,1.099673512,0.722937107,0.994734386,1.267182953,1.146346135,0.711342725,1.86159383,1.003405659,0.827792305,1.717846241,1.520119472,0.797219396,1.7191995,1.551300092,1.108494922,0.105,192,9.17364757,56.2291463,7678.26045,28317.0843,7.44905021,0.66358371,6.50070096,7.00348,15370.9035,0.06061381,8.74171852,12.0525855,5.64097637,3.67183157,12.0420462,0.84781444,6.47471261,9.85030188,18.0030346,6.22446,2.31350862,3.91776973,5.76099614,41.8492632,10.1715337,23.1743959,2928.96073,2.21662654,3.36403212,48.7955155,6508.62473,1.90503652,1.16429502,0.62386738,0.413603679,0.558680823,22.7001133,13.8736356,817.57302,2.02371626,5.7367848,2012.77183,1.11659899,1.67495727,4.06102013,5.50500136,1.2959346,0.60166947
Pazopanib HCl (GW786034 HCl),S1035,5,1,0,0,0,1,1.014838733,1.166971611,1.163518947,1.230824437,0.934160384,1.077154425,1.456388449,0.979857628,1.410926366,1.516543209,0.902440136,1.057208558,1.630977162,0.922900105,1.017913851,1.179640103,0.563325979,1.151288756,1.029046165,0.623496225,1.05256019,1.328330206,1.212847966,1.093259464,0.124,558,1.8082606,18.604883,266.802648,3294.04532,1.30522683,1.95935916,2.99445186,0.34517,0.06058582,2.08223583,0.79660583,0.74932474,1.01715038,0.05785689,0.00939424,0.21974955,0.11938108,0.32280806,0.6490345,1.28154,0.5076057,0.91546287,0.78814053,1.39928685,2.23153335,0.19190008,0.02279063,0.39389918,0.19471023,0.8294667,0.1473653,0.01656278,0.53964327,0.08648137,0.007419251,0,1.23815618,0.18152776,0.19593236,0.57962588,0.31922293,0,1.421413,0.97537558,0.93476357,0.45929714,1.26335414,1.05750841
Celecoxib,S1261,6,1,0,0,0,1,1.085368066,1.086938559,1.314122091,1.121019108,1.39146137,1.011451706,1.078718354,1.0827536,1.305357614,0.824498441,0.579205079,0.993521296,0.502658709,1.151039172,0.681784871,0.955886889,0.818600467,1.544639522,1.215218554,1.019663154,1.173957274,1.41025641,1.186417865,1.066020314,0.103,214,0.00212211,7.24494077,3321.87213,6677.27591,1.63305743,1.36292998,1.77879918,1.51008,15365.3106,1.34060227,1.57083832,1.28162925,0.41378726,0.55433734,11.1103141,0.87594382,1.14564531,1.25536883,0.75233359,0.79213,1.68381289,1.11520385,0.97891776,0.85447546,1.08011595,0.52544396,3.58606119,1.01776992,1.09903396,1.73157919,0.13201282,0.16060511,0.94455777,0.80967746,0.141661168,0,0.77525043,0.95328655,6.98265483,1.38095156,1.4968077,0,0.90933942,0.47816139,1.03853288,0.86561071,1.0738408,1.33042528
Celastrol,S1290,7,0,0,0,0,0,1.119762,0.599185504,1.188010235,1.199605275,0.452516914,1.215962984,1.168314873,0.223183951,1.889152811,0.877743937,0.645303668,1.090568553,0.533438564,0.246815439,0.922156176,1.169357326,0.158588044,1.240941352,2.108317336,0.302497304,1.436758223,26.9587242,2.200305904,1.24976916,0.439,361,0.05764829,2.52732822,0,2686.49958,0.6759873,1.71706422,0.02201008,0.01545,0.02355867,1.54917745,0,0.50783392,0,0.00014276,0.00459335,0.01341177,0.0073767,0.50661254,0,0,0.01091504,0.22717649,0.26256989,0.03416377,0,0.00267934,0,0.0906757,0.00100382,2.7044606,0.00233674,0.00011715,0.17330615,0,0.001266335,0,0.01824428,0.00320212,0.02881381,0.0321304,0.01393409,0,0.2535223,0.02701457,0.17043146,0.431108,1.18969749,1.5390247
Lenvatinib (E7080),S1164,8,1,1,0,0,0,1.328520118,0.952605796,1.007432679,1.974701713,1.590703892,1.05448236,1.807950949,0.865474842,1.097387173,1.943973997,0.613680029,1.574591748,1.098959207,0.902595537,0.903590913,1.532133676,0.876603766,0.848337691,2.45875948,0.719157056,1.19667684,2.045653533,1.029305598,1.097414589,0.104,326,5.16267264,7.23956687,1900.09421,18300.7678,2.53812649,1.78436514,0.98939833,0.32486,0.21617289,0.62243628,0.4269748,0.28874587,0.63528643,0.41310348,0.17253857,0.44419582,0.20963503,0.63825082,1.50049833,0.72716,0.47577931,1.0457354,0.19056432,0.43294586,1.78899836,0.49175444,0.66510809,0.74889948,0.33965582,0.42656351,0.26438969,0.28707767,1.08417594,0.74633287,0.108268213,0.183032946,2.10213147,0.47865804,1.11022134,1.05325879,0.23216949,0,3.07857072,0.32494428,3.13502692,5.66557219,0.77620096,3.0253201
CYC116,S1171,9,1,0,0,0,1,1.92758408,1.230006492,1.269891556,3.699291289,1.291277277,1.364025448,3.472310127,0.864746805,1.699129058,3.823114635,0.575446532,1.006865294,3.936861836,0.525524375,1.350378634,4.479177378,0.604065372,1.421740755,2.379079208,0.486849747,1.541878603,2.145090682,1.031508106,1.315327793,0.103,150,0.03655437,3.27709893,449.763907,906.583626,2.08204844,1.64249794,0.62500872,0.16014,0.08136414,0.642661,0.9585634,0.17693375,2.86057359,0.00581517,0.00175836,0.17490142,0.10553808,0.4654152,0.36574589,0,0.00591974,0.13044453,0.01602416,0.08446425,0.69811549,0.05988945,0.03587931,0.32239132,0.08315577,0.8263893,2.62219534,0.02018836,0.8312674,0.00893107,0.007406123,0,1.70434563,0.02405265,0.04912626,0.47887767,0.30422667,0,1.21175208,0.11296946,0.4407441,0.21917033,0.29782675,3.09594102
WZ8040,S1179,10,0,0,0,0,0,1.648078946,0.854158059,1.541123431,1.562034628,0.719721398,1.350144592,1.384592563,0.272447824,1.739245183,2.582919951,0.493017705,1.410217956,1.029941301,0.59544105,0.997638629,1.412030848,0.139953306,1.64960777,1.336438304,0.189330457,1.104442184,1.376485303,1.091710003,0.847645429,0.148,152,0.33176547,4.0227807,152.017738,1394.88378,1.62841539,2.25667366,0.16900488,0.08207,0.03448211,0.55909233,0.02407201,0,0.33607191,0.00289164,0.00033887,0.13391762,0.07882021,0.36002061,0,0,0.01150209,0.22647267,0,0.07885568,1.91833768,0.04133441,0.0270384,0.37200193,0.15879664,0,0.01256465,0.0039979,0.39615149,0.11139141,0.010714006,0,2.57807714,0.01790857,0.03722443,0.46873225,0.22581804,0,0.30589903,0.04094753,0.36121681,0.28426579,2.452039,8.62048923
